Czech,Russian
mrakodrap,небоскрёб
okolí,окрестность
město,город
hasiči,пожарники
letiště,аэропорт
vesnice,деревня
parkoviště,автостоянка
čtvrť,район
trafika,табачная лавка
náměstí,площадь
pěší zóna,пешеходная зона
sídliště,жилой квартал
zoologická zahrada,зоопарк
park,парк
obchodní centrum,торговый центр
statek,хозяйство (госхоз)
most,мост
ulice,улица
hrad,крепость
zámek,замок
řeka,река
potok,ручей
jezero,озеро
rybník,пруд
pošta,почта
banka,банк
nemocnice,больница
škola,школа
školka,детский сад
radnice,ратуша
knihovna,библиотека
obchod,магазин
cukrárna,кондитерская
přehrada,плотина
kavárna, кафе
les,лес
louka,луг
socha,статуя
lavička,скамейка
"kašna, fontána",фонтан
chodník,тротуар
podchod,подземный переход
kruhový objezd,круговой перекрёсток
památka,достопримечательность
infocentrum,информационный центр
policejní stanice,полицейский участок
květinářství,цветочный магазин
potraviny,продуктовый магазин
řeznictví,мясная лавка
drogerie,хозяйственный магазин
obuv,магазин обуви
papírnictví,канцтовары
knihkupectví,книжный магазин
nádraží,вокзал
galerie,галерея
zastávka,остановка
hostel,хостел
stanice,станция
čistírna,химчистка
koupaliště,"уличный бассейн, купальня"
ubytovna,общежитие
sportovní hala,спортзал
půjčovna,прокатный пункт
posilovna,тренажёрный зал
"pokladna, kasa",касса
památník,памятник
hřbitov,кладбище
divadlo,театр
kino,кино
restaurace,ресторан
bar,бар
úřad,"учреждение, орган (гос. орган)"
lékárna,аптека
pojišťovna,страховая компания
bankomat,банкомат
hotel,отель
"benzínová pumpa, benzínka", бензоколонка
vlak,поезд
autobus,автобус
trolejbus,троллейбус
taxík,такси
motocykl,мотоцикл
tramvaj,трамвай
metro,метро
kolo,велосипед
auto,машина
pád,падеж
spojka,союз
podstatné jméno,имя существиельное
jednotné číslo,единственное число
přídavné jméno,имя прилагательное
množné číslo,мнодественное число
zájmeno,местоимение
souhláska,согласный (звук)
číslovka,имя числительное
samohláska,гласный (звук)
sloveso,глагол
příslovce,наречие
předložka,предлог
nadřazené slovo,"слово, обозначающее группу других слов (напр.: овощи, фрукты, мебель)"
oblečení,одежда
sukně,юбка
tričko,футболка
tílko,майка
kabát,пальто
bunda,куртка
svetr,свитер
párové oblečení,парная одежда
ponožky,носки
rukavice,перчатки
doplňek,аксессуар/ы
čepice,шапка
klobouk,шляпа
šála,шарф
rolák,свитер с высоким воротом
šátek,"платок, косынка"
mikina,"толстовка, кофта"
kravata,галстук
župan,халат
sako,пиджак
vesta,жилет
halenka,блузка
košile,рубашка
pyžamo,пижама
motýlek,галстук-бабочка
pásek,"ремень, пояс"
kabelka,сумка
brýle,очки
hodinky,часы
šperk,украшение (юв. изделие)
podprsenka,бюстгальер
náušnice,серьги
pomnožná substantiva,"существительные употребляются только в мн.числе (напр. ножницы)"
kalhoty,брюки
džíny,джинсы
kraťasy,шорты
legíny,легинсы
šaty,платье
náramek,браслет
prstýnek,кольцо
náhrdelník,колье
řetízek,цепочка
obuv,обувь
polobotky,ботинки
lodičky,лодочки
tepláky,"спортивные брюки, треники"
plavky,плавки
punčocháče,колготки
kalhotky,трусики
boxerky,трусы
sandály,"сандалеты, босоножки"
žabky,"сланцы, вьетнамки"
balerínky,балетки
tenisky,кроссовки
kozačky,сапоги
holínky,резиновые сапоги
len,лен
bačkory,домашняя обувь
pantofle,тапочки
samet,бархат
hedvábí,шелк
materiál,материал
vzor,"образец, узор"
bavlna,хлопок
vlna,шерсть
džínovina,джинса
kůže,кожа
kožešina,мех
pruhovaný,полосатый
kostkovaný,"клетчатый, в клетку"
puntíkovaný,в горошек
květovaný,в цветочек
ovoce,фрукты
banán,банан
ananas,ананас
pomeranč,апельсин
grep,грейпфрут
rybíz,смородина
hruška,груша
švestka,слива
borůvka,черника
jahoda,клубника
malina,малина
broskev,персик
meruňka,абрикос
třešeň,черешня
višeň,вишня
nektarinka,нектарин
mandarinka,мандарин
jablko,яблоко
hroznové víno,виноград
kiwi,киви
citron,лимон
zelenina,овощи
brambor,картошка
pórek,лук-порей
špenát,шпинат
česnek,чеснок
kedluben,брюква
řepa,репа
mrkev,морковь
petržel,петрушка
cibule,лук
kapusta,савойская капуста
kukuřice,кукуруза
okurka,огурец
brokolice,брокколи
dýně,"тыква, дыня"
cuketa,цукини
paprika,cладкий перeц
zelí,капуста
rajče,помидор
hrách,горох
čočka,чечевица
fazole,фасоль
mléčné výrobky,молочные продукты
kefír,кефир
jogurt,йогурт
sýr,сыр
tvaroh,творог
smetana,сметана
šlehačka,взбитые сливки
květák,цветная капуста
mléko,молоко
lilek,баклажан
celer,сельдерей
máslo,масло (сливочное)
pečivo,хлебобулочные изделия
kachní,утиный
chléb,хлеб
rohlík,рогалик
koláč,пирог
mouka,мука
houska,булка
bageta,багет
rybí,рыбный
telecí,телятина
vepřové,свинина
uzenina,колбасное изделие
párek,сосиска
kobliha,пончик
špekáček,сарделька
vánočka,рождественская плетёнка
šunka,ветчина
buchta,пирог
zvíře,животное
býk,бык
kůň,конь
kráva,корова
slepice,курица
krůta,индейка
husa,гусь
kachna,утка
ryba,рыба
tele,теленок
prase,свинья
kuře,курица
maso,мясо
hovězí,говядина
koňské,конина
slepičí,куриный
kuřecí,куриный
krůtí,индюшачий
husí,гусиный
klobása,колбаса
paštika,паштет
napoj,напиток
čaj,чай
džus,сок
káva,кофе
minerální voda,минеральная вода
"perlivá, neperlivá","газированная, безгаза"
rýže,рис
pohanka,гречка
krupička,манка
těstovina/y,"макаронные изделия, паста"
špagety,спагетти
olej,масло(растительное)
nanuk,эскимо
zmrzlina,мороженое
vejce,яйцо
"člověk, lidé","человек, люди"
tchán,тесть/свёкор
"otec, tatínek","отец, папа"
tchýně,свекровь
"matka, maminka","мать, мама"
švagr,шурин/деверь
bratr,брат
sestra,сестра
dědeček,дедушка
babička,бабушка
strýc,дядя
teta,тётя
švagrová,золовка/свояченица
zeť,зять
snacha,сноха
nevlastní otec,отчим
nevlastní matka,мачеха
důchodce,пенсионер
bratranec,двоюродный брат
důchodkyně,пенсионерка
sestřenice,двоюродная сестра
soused,сосед
synovec,племянник
sousedka,соседка
neteř,племянница
sourozenec,"родной (брат, сестра)"
syn,сын
dcera,дочь
vnuk,внук
vnučka,внучка
jedináček,единственный ребенок
ženatý,женатый
vdaná,замужем
svobodný,холостой
přítel,"приятель, партнер"
svatba,свадьба
přítelkyně,"приятельница, партнер"
přátelé,приятели
ženich,жених
nevěsta,невеста
manžel,муж
manželka,жена
rodiče,родители
zásnuby,обручение
ráno,утро
dopoledne,"первая половина дня, до полудня"
poledne,полдень
odpoledne,"вторая половина дня, после обеда"
večer,вечер
noc,ночь
půlnoc,полночь
snídaně,завтрак
svačina,"второй завтрак, перекус"
oběd,обед
večeře,ужин
hodina,час
minuta,минута
čtvrt,четверть
půl,половина
tři čtvrtě,три четверти (без пятнадцати минут...)
celá,полный час
snídat,завтракать
obědvat,обедать
svačit,перекусывать
večeřet,ужинать
vařit,готовить
odcházet,уходить
pospíchat,спешить
procházet se,гулять
scházet se,встречаться
vidět,видеть
probouzet se,просыпаться
dívat se,смотреть
usínat,засыпать
vstávat,вставать
začínat,начинать
čistit,чистить
čekat,ждать
těšit se,ждать с нетерпением
prohlížet si,осматривать
trvat,"длиться, продолжаться"
česat se,причёсываться
bydlet,"жить, проживать"
sprchovat se,принимать душ
mýt se,мыться
oblékat se,одеваться
svlékat se,раздеваться
číst,читать
učit se,учиться
psát,писать
vyslovovat,произносить
převlékat se,переодеваться
odpovídat,отвечать
odpočívat,отдыхать
ležet,лежать
spát,спать
sedět,сидеть
jít,идти
jet,ехать
chodit,ходить
popisovat,описывать
připravovat,готовить
připravovat se,готовиться
plést,путать
telefonovat,звонить
nakupovat,"покупать, делать покупки"
uklízet,убирать
vracet se,возвращаться
sportovat,заниматься спортом
přicházet,приходить
hrát,играть
pondělí,понедельник
víkend,выходные
úterý,вторник
středa,среда
čtvrtek,четверг
pátek,пятница
sobota,суббота
prázdniny,каникулы
rok,год
měsíc,месяц
den,день
neděle,воскресенье
volno,свободное/нерабочее время
každý den,каждый день
"pak, potom","потом, после"
pravidelně,регулярно
často,часто
"obvykle, obyčejně",обычно
občas,иногда
málokdy,редко
už,уже
ještě,ещё
pozdě,поздно
"brzy, brzo",рано
včas,вовремя
dlouho,долго
pomalu,медленно
rychle,быстро
obličej,лицо
vlasy,волосы
procházka,прогулка
přednáška,лекция
vyučování,занятия
televizní program,телевизионная программа
doma,дома
venku,на улице
obchod,магазин
peníze,деньги
nákupní košík,корзинка для покупок
peněženka,кошелек
nákupní vozík,тележка для покупок
igelitová taška,пластиковый пакет
sáček,пакет
sleva,скидка
výprodej,распродажа
samoobsluha,самообслуживание
prodavač,продавец
prodavačka,продавщица
balicí papír,упаковочная бумага
výloha,витрина
dárek,подарок
regál,полка
lék,лекарствo
recept,рецепт
šampon,шампунь
sprchový gel,гель для душа
prášek na praní,стиральный порошок
deodorant,дезодорант
kapesník,носовой платок
zákusek,десерт
bonbón,конфета
lékárna,аптека
drogerie,хозяйственный магазин
voňavka,духи
kosmetika,косметика
hygienické potřeby,гигиенические средства
žvýkačka,жевательная резинка (жвачка)
zboží,товар
platit,платить
slušet,быть к лицу (напр.: тебе идёт.)
šetřit,экономить
přinést,принести
ukázat,показать
utrácet,тратить
kupovat,покупать
prohlédnout si,просмотреть
nakupovat,покупать
tlačit,"давить, настаивать"
vzít,взять
chtít,хотеть
zkoušet si,пробовать
kolik stojí…?,сколько стоит...?
vezmu si …,я возьму …
dám si …,я буду ….
co si dáte?,что будете заказывать?
máte vybráno?,вы выбрали?
zkusím si to…,я померяю это...
jakou máte velikost?,какой у вас размер?
hotově…,наличкой...
kartou…,картой...
sluší ti to. sluší vám to.,тебе идёт. вам идёт.
zvlášť. dohromady.,отдельно. вместе.
zvíře,животное
kocour,кот
kočka,кошка
kotě,котенок
pes,собака(самец)
fena,собака (самка)
štěně,щенок
potkan,крыса
myš,мышь
papoušek,попугай
had,змея
pavouk,паук
chameleon,хамелеон
klec,клетка
pelíšek,лежанка
obojek,ошейник
vodítko,поводок
ocas,хвост
zobák,клюв
andulka,волнистый попугай
dráp/y,коготь/когти
křeček,хомяк
králík,кролик
želva,черепаха
rybička/y,рыбка/и
morče,морская свинка
nebezpečný,опасный
jedovatý,ядовитый
exotický,экзотический
srst,шерсть
šupina,чешуя
tlapka,лапка
peří,перья
křídlo,крыло
roztomilý,милый
mazlivý,ласковый
chlupatý,лохматый
vycvičený,дрессированный
barevný,цветной
chovat,разводить
mňoukat,мяукать
hladit,гладить
starat se,заботиться
drbat,чесать
štěkat,лаять
vrnět,мурлыкать
vrtět ocasem,вилять хвостом
lézt,лезть
létat,летать
vrčet,"рычать, ворчать"
hlídat,сторожить
kňučet,скулить
beran,баран
ovce,овца
jehně,ягненок
koza,коза
kůzle,козленок
tele,теленок
sele,поросенок
zajíc,заяц
krtek,крот
ježek,ёж
veverka,белка
liška,лиса
sova,сова
orel,орёл
šnek,улитка
rak,рак
jezevec,барсук
jelen,олень
laň,лань
srnec,косуля
srna,косуля
tuleň,тюлень
lev,лев
slon,слон
žirafa,жираф
tučňák,пингвин
medvěd,медведь
krokodýl,крокодил
velbloud,верблюд
nosorožec,носорог
zebra,зебра
klokan,кенгуру
hroch,бегемот
opice,обезьяна
tygr,тигр
delfín,дельфин
velryba,кит
dětský koutek,детская площадка
část,часть
užitek,польза
stánek,киоск
lanovka,канатная дорога
divoké prase,кабан
povodeň,наводнение
lachtan,морской котик
zničit,уничтожить
vzácný,бесценный
adoptovat,усыновить/удочерить
současný,"настоящий, современный"
vzniknout,возникнуть
nacházet se,находиться
stát se,"стать, случиться"
vodní,водный
důležitý,важный
počasí,погода
tornádo,торнадо
předpověď,прогноз
přeháňky,кратковременный дождь
slunce,солнце
obloha,небо
mrak,облако
duha,радуга
mráz,мороз
led,лёд
náledí,гололёд
jinovatka,иней
rampouch,сосулька
sníh,снег
srážky,осадки
déšť,дождь
louže,лужа
mlha,туман
stupeň celsia,градус цельсия
bouřka,гроза
hrom,гром
blesk,молния
kroupy,град
slunečno,солнечно
sněhová vločka,снежинка
jasno,ясно
sněhulák,снеговик
polojasno,переменная облачность
závěj,сугроб
vítr,ветер
vánek,ветерок
vichr,вихрь
vichřice,вихрь
uragán,ураган
pršet,идёт дождь
sněžit,идёт снег
mrznout,мёрзнуть
padat,падать
foukat,дуть
zataženo,пасмурно
studená fronta,холодный фронт
teplá fronta,тёплый фронт
oblačnost,облачность
vlhkost,влажность
hlásit,объявлять
svítit,светить
zmoknout,намокнуть
blýskat se,сверкать
hřmět,греметь
roční období,времена года
sněhulák,снеговик
podzim,осень
pocit,ощущение
příroda,природа
krajina,"местность, край"
vesnice,деревня
zahrada,"сад, огород"
chata,"дача, загородный дом"
sjezdovka,горнолыжная трасса
nálada,настроение
vánoce,рождество
velikonoce,пасха
výstava,выставка
výstaviště,выставочный центр
vysvědčení,"свидетельство, аттестат"
hnízdo,гнездо
jezero,озеро
dětství,детство
obilí,"хлеб, зерно"
listí,листья
zima,зима
jaro,весна
léto,лето
měsíc,месяц
leden,январь
únor,февраль
březen,март
duben,апрель
květen,май
červen,июнь
červenec,июль
srpen,август
září,сентябрь
říjen,октябрь
listopad,ноябрь
prosinec,декабрь
výlet,"поход, экскурсия"
tábor,лагерь
táborák,костер
stan,палатка
spací pytel,спальный мешок
ohňostroj,фейерверк
tažní ptáci,перелетные птицы
mazanec,кулич
drak,дракон
kvést,цвести
rozkvétat,расцветать
růst,расти
přilétat,прилетать
rodit se,"родиться, появляться"
sázet,сажать
oslavovat,праздновать
dozrávat,"зреть, спеть"
sklízet,убирать
opalovat se,загорать
plavat,плавать
potápět se,тонуть
stanovat,разбитьлагерь
žloutnout,желтеть
opadávat,опадать
lyžovat,кататься на лыжах
bruslit,кататься на коньках
koulovat se,играть в снежки
sáňkovat,кататься на санках
barvit,красить
rybařit,рыбачить
koupat se,купаться
opékat,поджаривать
cestovat,путешествовать
malovat,рисовать
kreslit,рисовать
inspirovat,вдохновлять
obyvatel,житель
absolvent,выпускник
brána,ворота
kašna,фонтан
apoštol,апостол
socha,"статуя, скульптура"
král,король
kníže,князь
chrám,"собор, храм"
věž,башня
synagoga,синагога
bazilika,базилика
hrad,"крепость, замок"
síň,зал (торжественное помещение)
kostel,"костел, церковь"
palác,дворец
zámek,замок
hřbitov,кладбище
orloj,куранты
zvěrokruh,зодиак
ostrov,остров
kopec,холм
břeh,берег
sad,сад
konec,конец
výhled,вид
sál,зал (напр.: лекционный)
zvon,колокол
klenot,"драгоценность, сокровище"
poklad,клад
pilíř,"опора, столб"
sloup,столб
imatrikulace,зачисление (в высшее уч.заведение)
promoce,выпускной (церемония вручения диплома)
knihovna,библиотека
hvězdárna,обсерватория
rozhledna,обзорная башня
lanovka,фуникулер
hrobka,"гробница, склеп"
monstrance,дарохранительница
zvonkohra,колокола
povodeň,наводнение
studna,колодец
hlavní město,столица
sportoviště,спортивная площадка
postavení,позиция
okénko,окошко
bludiště,лабиринт
nádvoří,двор (внутренний)
století,век
gotický,готический
barokní,барочный
židovský,еврейский
stejný,одинаковый
původní,первоначальный
nejznámější,самый известный
korunovační,коронационный
nejstarší,самый старый
stověžatý,сто шпилей
největší,самый большой
zlatý,золотой
hudební,музыкальный
založit,основать
vypadat,выглядеть
nejvýznamnější,"самый важный, самый знаменательный"
dokončit,закончить
vytvořit,создать
rozdělovat,разделять
zajímat se,интересоваться
obdivovat,восхищаться
podívat se,посмотреть
konat se,"происходить, состояться"
ukazovat,показывать
prohlédnout si,"посмотреть, рассмотреть"
začínat,начинать
projít se,пройтись
stát,стоять
postavit,"построить, поставить"
národ,народ
šlechtic,дворянин
císař,император
hrabě,граф
mnich,монарх
šlechtična,дворянка
císařovna,императрица
hraběnka,графиня
sbírka,коллекция
malíř,"художник, маляр"
výzdoba,"украшение, убранство"
sochař,скульптор
pověst,"сказание, предание"
dělník,разнорабочий
skála,"скала, утёс"
klášter,монастырь
pevnost,"прочность, крепость"
nápis,надпись
svět,мир
dar,дар
svátek,праздник
vzkaz,записка
peníze,деньги
požár,пожар
stavba,строительство
kaplička,часовня
rotunda,ротонда
opera,опера
opona,занавес
láska,любовь
síla,сила
pomoc,помощь
oprava,ремонт
doba,"период, время"
součást,"часть, деталь"
balet,балет
činohra,драма
jeviště,сцена
hlediště,зрительный зал
představení,представление
uhlí,уголь
sídlo,"резиденция, место жительства"
uzdravení,выздоровление
nedbalý,"небрежный, неаккуратный"
významný,"важный, знаменательный"
dřevěný,деревянный
železný,железный
sametový,бархатный
slavný,"славный, великий"
zázračný,чудесный
celý,целый
současný,современный
návštěvní,"приемный, визитный"
starobylý,"старинный, древний"
nazývat se,называться
účastnit se,участвовать
vybrat peníze,снять деньги (... в банкомате)
složit,"сложить, собрать"
zavřít,закрыть
potřebovat,нуждаться
překládat,переводить
pohřbít,похоронить
opravit,отремонтировать
pocházet,происходить
uhasit,погасить
topit,"топить, отапливать"
vzniknout,появиться
vyhořet,выгореть
sbírat,собирать
zahájit,начать
darovat,(по) дарить
uzdravit,вылечить
rozšířit se,расшириться
navštěvovat,посещать
přinášet,приносить
žádat,"требовать, просить"
vlak,поезд
kufr,чемодан
směr,направление
chodec,переход
jízdenka,билет
drobné,мелочь (копейки)
rovně,прямо
zpátky,назад
daleko,далеко
správně,правильно
chvíle,"момент, время"
určitě,"точно, определенно"
taška,сумка
kousek,"кусок, недалеко"
zastávka,остановка
špatně,неправильно
částka,сумма (денег)
často,часто
ubytování,"размещение, ночлег"
pěšky,пешком
pokračovat,продолжать
vyznat se,"разбираться, ориентироваться"
přejít,перейти
vrátit se,вернуться
hledat,искать
uvidět,увидеть
odbočit,"повернуть, свернуть"
obtěžovat,беспокоить кого-то
zahnout,завернуть
vystoupit,"выйти, сойти"
poradit,посоветовать
znát,знать
rozměnit,разменять
podívat se,посмотреть
pomoct,помочь
potkat,встретить
tělo,"тело, организм"
zápěstí,запястье
hlava,голова
oko/oči,глаз/глаза
ucho/uši,ухо/уши
obočí,брови
víčko,веко
řasa,ресница
nos,нос
tvář,щека
dlaň,ладонь
prst,палец
noha,нога
kyčel,(тазо) - бедренный сустав
stehno,бедро
koleno,колено
lýtko,икра
kotník,лодыжка
brada,"подбородок, борода"
chodidlo,ступня
krk,горло
pata,пятка
trup,"туловище, торс"
postava,"фигура, телосложение"
hrudník,грудь
břicho,живот
záda,спина
zadek,ягодицы
končetina,конечность
ruka/ruce,рука/руки
rameno,плечо
prso,грудь
loket,локоть
předloktí,предплечье
plnoštíhlý,полный
obézní,тучный
kulatý,круглый
oválný,овальный
hranatý,угловатый
obličej,лицо
vlas/y,волос/волосы
pusa,губы
ústa,рот
ret,губа
zub,зуб
vousy,борода
knír/knírek,(m) - усы
bradka,бородка
plnovous,борода
odstávající,торчащий
vlnitý,волнистый
kudrnatý,кудрявый
blonďatý,белокурый
zrzavý,рыжий
nemoc,болезнь
zdraví,здоровье
otřes mozku,сотрясение мозга
ordinace,кабилетврача
úraz,"травма, повреждение"
čekárna,заложидания
lékař,доктор
zdravotní sestra,мед.сестра
lékárna,аптека
recept,рецепт
neschopenka,больничный лист (справка)
karta,мед.карта
kartotéka,картотека
lék,лекарство
prášek,порошок
kapka/y,капля/капли
mast,мазь
teploměr,градусник
lůžko,"постель, койка"
zdravotní středisko,мед.центр
pojištění,страховка
pojištěnec,страхователь
kaz,"кариес, изъян, дефект"
injekce,инъекция
sanitka,машина скорой помощи
pohotovost,"скорая помощь, неотложка"
paravan,"ширма, перегородка"
plášť,плащ (здесь: медицинский халат)
rýma,насморк
kýchání,чихание
smrkání,высмаркивание
kašel,кашель
kašlání,кашель
chřipka,грипп
teplota,температура
horečka,"жар, лихорадка"
angína,ангина
bolest,боль
zápal plic,воспаление лёгких
cukrovka,диабет
žloutenka,желтуха
rakovina,рак
obezita,ожирение
vysoký krevní tlak,высокое давление
mozková mrtvice,мозговой удар
infarkt,инфаркт
průjem,понос
zácpa,запор
zlomenina,перелом
palec,палец
popálenina,ожог
omrzlina,отморожение
pořezání,порез
kýchat,чихать
smrkat,сморкаться
kašlat,кашлять
zlomit,сломать
ordinovat,принимать больных
vcházet,входить
svlékat se,раздеваться
prohlížet,осматривать
vymknout,вывихнуть(что)
vyšetřit,произвести осмотр
vyvrtnout,вывихнуть (себе)
ptát se,спрашивать
vykloubit,"вывернуть, вывихнуть"
předepsat,"назначить, прописать"
popálit,обжечь
spálit,"сжечь, выжечь"
omrznout,отморозить
pořezat,порезать
léčit,лечить
pomáhat,помогать
čekat,ждать
onemocnět,заболеть
uzdravit se,выздороветь
doufat,надеяться
trápit,"мучить, терзать"
zvracet,рвать (тошнота)
vytrhnout,вырвать (напр.: зуб)
vyvrtat,просверлить
cítit se,чувствовать себя
odřít,ободрать
měřit,мерить
vymknutý,вывихнутый
vyvrtnutý,вывихнутый
zlomený,сломанный
omrzlý,отмороженный
pořezaný,порезанный
unavený,уставший
vykloubený,вывихнутый
vážný,"серьезный, критический"
popálený,обожжённый
spálený,сожжённый
zkažený,испорченный
odřený,ободранный
jídelní lístek,меню
číšník,официант
"číšnice,servírka",официантка
omeleta,омлет
vrchní,"метрдотель, старший официант"
